X,Y,Roll,Pitch,Yaw
1.345334,-0.417804,114.11588485989908,15.705084628294552,-103.37388505340593
1.346249,-0.418022,113.94971110424711,16.027294232943948,-103.51461150047281
1.346452,-0.417999,113.92084765067372,16.056829173396316,-103.52939156173329
1.346535,-0.417878,113.9225711489307,16.288511618893253,-103.50751841299461
1.346646,-0.417827,113.90685184775838,16.4582060531555,-103.52818943999766
1.346822,-0.417864,113.88504842712604,16.591133185988017,-103.55090508191738
1.347005,-0.417884,113.85704436750807,16.734847602611215,-103.53830383880829
1.347186,-0.417946,113.83952444900642,16.861403531686843,-103.52451020732244
1.347572,-0.418155,113.81052113212154,16.891017551486467,-103.5399677227283
1.348082,-0.418282,113.72575473730313,16.839445979724772,-103.51714736470747
1.34845,-0.41853,113.67000734829772,16.869950189853128,-103.5433580413071
1.348701,-0.418928,113.63717231114461,16.789676317258383,-103.68077194692424
1.34883,-0.419279,113.63352125588767,16.781590727903737,-103.77355266025945
1.349358,-0.419705,113.60413852300742,16.809012182904684,-103.78939880586478
1.349445,-0.41998,113.60404468455297,16.77443977508062,-103.863257947925
1.349521,-0.420229,113.60366519405203,16.749391239396324,-103.92735567275827
1.34905,-0.419587,113.63469028771267,16.622018848124462,-103.78598518307625
1.34963,-0.420082,113.60516133107532,16.650085994093804,-103.80222608854345
1.349719,-0.420241,113.59597101805704,16.693998570067453,-103.80541911218906
1.349929,-0.420478,113.57297610208495,16.733577781212034,-103.82201865866348
1.350192,-0.420726,113.54439417352367,16.75965009144084,-103.84361267323102
1.350481,-0.42111,113.52364606818892,16.748334340794557,-103.92746635026771
1.350707,-0.421453,113.51622459570854,16.74838750063508,-103.98969852644167
1.351401,-0.422132,113.48671009471202,16.776288852925834,-104.00572038377153
1.35157,-0.422341,113.47912658839103,16.7399286223838,-104.06038538960122
1.351738,-0.422588,113.46893024610672,16.72516474067482,-104.11435228686074
1.351664,-0.422361,113.44790049475723,16.699172663364422,-104.1053106212718
1.351812,-0.42243,113.42723459195398,16.698360046906156,-104.0927547668103
1.352584,-0.423199,113.39763843703517,16.72743811334438,-104.10902116172367
1.352431,-0.422733,113.36345953315157,16.658182847672375,-104.07642054728294
1.352731,-0.42299,113.3351680909928,16.680414934672076,-104.09457883986322
1.35297,-0.423168,113.30483096170656,16.69869099956492,-104.12462175234766
