X,Y,Roll,Pitch,Yaw
1.785581,-1.447017,-41.79910470862639,30.933176101603056,-118.57533131833418
1.784597,-1.446405,-41.761333794399846,31.16870561435186,-118.46232512302932
1.785555,-1.447244,-41.78009802606904,31.18969513653323,-118.18678436248442
1.785641,-1.447662,-41.875468219623464,30.88744484157944,-118.3043601634449
1.785423,-1.447415,-41.9154600021935,30.908078195747784,-118.33241442828076
1.789252,-1.456049,-43.44160798520064,24.96045681173103,-118.87675995155325
1.789878,-1.456363,-43.480169227717255,24.98207519045477,-118.89881326976176
1.790213,-1.455813,-43.26566096938083,25.03762586992339,-118.98642891447267
1.790669,-1.45548,-43.155490509333326,25.060228312824705,-119.09040868683283
1.791607,-1.455805,-43.1935382259075,25.080210579473395,-119.1147274697281
1.791736,-1.455902,-43.1136882269747,25.027630832954085,-119.04836275349255
1.792128,-1.456046,-43.071751411873635,24.990132552521363,-119.00787076819991
1.792508,-1.456235,-43.02867381957335,24.949141309561266,-119.00128167639055
1.793014,-1.456356,-43.00594085479567,24.923872218818772,-118.97575640340493
1.794364,-1.456787,-43.044109997264776,24.944525249930326,-118.9988972008606
1.794041,-1.456022,-42.84933514858228,25.148777199109386,-118.77614023051352
1.795544,-1.456438,-42.88786773724648,25.16922425218932,-118.80014702684086
1.795961,-1.456177,-42.78035496907872,25.23185844589566,-118.62939136342716
1.796527,-1.455977,-42.69827604626979,25.341542325481715,-118.51774138850952
1.798298,-1.456392,-42.73663954771193,25.36235792428107,-118.5420897344839
1.796838,-1.454664,-42.51909153935042,26.350934680858217,-117.73320275981489
1.798727,-1.454918,-42.55759852800861,26.371727254731216,-117.75815791147765
1.798898,-1.454462,-42.404876390358886,26.492210978178086,-117.6534493745348
1.799065,-1.45444,-42.306285398364174,26.362078355640566,-117.70439533164749
1.801179,-1.454712,-42.343942262137574,26.38295987342453,-117.72842236920432
1.79951,-1.454466,-42.11681847785059,26.10502773363182,-117.75813607775862
1.801697,-1.454795,-42.154962736542636,26.12581643874146,-117.78237409729421
1.802352,-1.454809,-42.07254095090384,26.074227872586352,-117.78732068275515
1.803207,-1.454863,-42.00660871506389,26.03586970369244,-117.7910835538023
1.805661,-1.455245,-42.044578890814975,26.0572423528835,-117.81540279332826
1.802962,-1.454133,-41.78622466517129,26.228213548870382,-117.34848181384804
1.805448,-1.45446,-41.82396790333044,26.250432145043455,-117.37270767216232
1.808073,-1.454798,-41.86166446393988,26.272386648804687,-117.39669355866975
1.806177,-1.455162,-41.752896782961024,25.911741567783714,-117.46189229258786
1.808856,-1.455587,-41.790550125403925,25.932883132993762,-117.48600428607921
1.807456,-1.456035,-41.721778078986006,25.629490322920777,-117.47498135919489
1.810204,-1.456536,-41.75959896537791,25.650126621564738,-117.49929465708382
1.810886,-1.456762,-41.6925139299974,25.53550319864372,-117.45075218626526
1.808827,-1.457816,-41.92353276619729,24.7309522075291,-117.4810907136683
1.811613,-1.458444,-41.96097340208611,24.752936259722702,-117.50469138333301
1.809779,-1.458138,-41.7999991174842,24.527131513112973,-117.2987361622146
1.812594,-1.458798,-41.83732990002578,24.548815447349234,-117.32185532581985
1.813593,-1.458864,-41.76006365767825,24.69916157760346,-117.40538361971848
1.814437,-1.458982,-41.728546859532386,24.77213685758364,-117.35758794867161
1.817491,-1.45969,-41.7658158125387,24.79442914326138,-117.38049049334406
1.815183,-1.459408,-41.64146677410737,24.682924521016822,-117.17015427871524
1.818248,-1.460143,-41.67877061376128,24.70441295238191,-117.19314709570243
1.81798,-1.460444,-41.60111205389496,24.524671044107475,-117.0404021804808
1.817849,-1.460706,-41.56408107795466,24.376028940227545,-116.8915719272621
1.820965,-1.461492,-41.601381381253496,24.397453056406075,-116.91433766846075
1.816091,-1.460961,-41.454155339059895,23.99612743286994,-116.47069164874206
1.819063,-1.461755,-41.49091940056195,24.01871085703691,-116.49340022476979
1.818689,-1.46191,-41.44229349573389,23.845331645800115,-116.30322019182697
1.819137,-1.462413,-41.48087039821959,23.74121857617673,-116.29592466274812
1.822174,-1.463251,-41.517240798414825,23.763755257245567,-116.31776150742914
1.820349,-1.462681,-41.441918029858066,23.98398304651257,-116.37377253204977
1.823447,-1.463535,-41.478172966692945,24.0060696517707,-116.39599861985302
1.823581,-1.463667,-41.46589679557283,23.959650080516127,-116.27356709631457
1.824839,-1.464032,-41.519927405958484,24.114269233329694,-116.38327134314453
1.828097,-1.464909,-41.55686913012787,24.13663449792489,-116.40644354379032
1.824385,-1.463568,-41.39561908564623,24.055333163379608,-116.00866144675672
1.827564,-1.464396,-41.43262646827134,24.078267312747645,-116.0310638683418
1.825881,-1.463938,-41.374147954095136,23.968660812683943,-115.76843167127203
1.818835,-1.463162,-41.79575929977176,23.45896694997118,-115.65896422468639
1.821697,-1.463936,-41.83214358073669,23.481485315659345,-115.68132822403791
1.819497,-1.463876,-41.859710594615215,23.357919403296403,-115.58376733293369
1.822356,-1.464668,-41.89619732615221,23.380473545090254,-115.60597662810102
1.821997,-1.464818,-41.90230943593208,23.28722262282958,-115.49893627232318
1.822321,-1.465045,-41.9240888663225,23.254388481116536,-115.44468754538919
1.825235,-1.465851,-41.96082075623866,23.277433516781837,-115.46682669712679
1.823312,-1.464221,-41.6573094139706,23.823076895502634,-115.36916559628625
1.826275,-1.464979,-41.69320402964534,23.84451931300339,-115.39096453124
1.826592,-1.464627,-41.57195234796608,24.08553986929515,-115.3377913613766
1.827126,-1.46519,-41.656182582961875,24.018194835077207,-115.41264109255714
1.830217,-1.46596,-41.69300781794545,24.040825035069094,-115.43555256614314
1.827201,-1.466004,-41.751607717808874,23.81532684557251,-115.4643408220291
1.830252,-1.466805,-41.787758228284495,23.837873594915667,-115.48695933685815
1.831218,-1.467217,-41.765795825669144,23.80224238368005,-115.51332089355681
1.832467,-1.467566,-41.74713725398707,23.799446576675777,-115.55747118497813
