X,Y,Yaw
2.114572,-0.530123,-107.04300023839448
2.108925,-0.52926,-107.0982231913255
2.112996,-0.526655,-107.13644865860894
2.117067,-0.52405,-107.71737942358952
2.1213,-0.521325,-108.02578911406788
2.118068,-0.519482,-108.04754400299608
2.1232825,-0.519332,-107.91318472158468
2.128497,-0.519182,-108.3356621620726
2.126525,-0.51737,-108.35693818452384
2.129358,-0.51716,-108.43639458010564
2.132038,-0.517252,-108.3869370980454
2.130879,-0.515712,-108.40803695600576
2.135432,-0.517359,-108.53463905221136
2.134759,-0.516073,-108.5552209433371
2.136477,-0.516573,-108.62471206963224
2.137881,-0.516899,-108.69279317984324
2.137641,-0.515906,-108.71288334113318
2.140824,-0.517927,-108.49311677757018
2.140876,-0.517141,-108.51278413724488
2.141645,-0.518242,-109.02538883420748
2.142403,-0.518922,-109.26603879320292
2.142747,-0.518506,-109.28612750922866
2.144175,-0.519743,-109.4046076491084
2.144692,-0.519497,-109.42543063948428
2.145588,-0.520102,-109.52694866218658
2.148457,-0.521159,-108.6221883795432
2.149093,-0.520911,-108.64175304256864
2.150265,-0.522465,-108.85680809258436
2.151002,-0.522366,-108.87652946133844
2.151863,-0.523151,-109.02346256930164
2.152746,-0.523847,-109.13070003843468
2.153634,-0.52393,-109.14893040497272
2.154317,-0.52527,-109.35722276469048
2.155277,-0.52549,-109.37679872527448
2.156287,-0.525743,-109.39722548060946
2.156081,-0.526876,-109.7436988481994
2.15713,-0.527279,-109.7634818530992
2.156952,-0.528258,-110.04141831618831
2.158038,-0.528798,-110.06225530354692
2.158663,-0.529776,-110.2176968064108
2.159684,-0.530693,-110.23612215148894
2.160878,-0.531399,-110.25630655542771
2.160737,-0.532234,-110.445476160835
2.161972,-0.53306,-110.46551250487812
2.162295,-0.533616,-110.53849674692978
2.162953,-0.534025,-110.46629327499171
2.164284,-0.534961,-110.48621721433472
2.164121,-0.535104,-110.46030843243489
2.165494,-0.536097,-110.47958847710778
2.165769,-0.536571,-110.53279243774612
2.166195,-0.537102,-110.57314688953156
2.16765,-0.538213,-110.59268223873642
2.16686,-0.537998,-110.64099700976033
2.168347,-0.539171,-110.66081595212296
2.168796,-0.539731,-110.69016230820642
2.16937,-0.540049,-110.62461605338846
2.170944,-0.541306,-110.64393580723456
2.170228,-0.541105,-110.67813622423574
2.171835,-0.542419,-110.69807143782288
2.171944,-0.542512,-110.68276608084297
2.172271,-0.542777,-110.6702926103099
2.173965,-0.544169,-110.68974028575693
2.172867,-0.543213,-110.63578318201104
2.174601,-0.544634,-110.65565953763522
2.174984,-0.545075,-110.66794395119604
2.175531,-0.545634,-110.6801196041821
2.177346,-0.547144,-110.70033413585998
2.17628,-0.546392,-110.6866272715118
2.178123,-0.547934,-110.70657999898178
2.178236,-0.547973,-110.67896483975072
2.178414,-0.548057,-110.65800576930188
2.180327,-0.54965,-110.67776975857043
2.180677,-0.550009,-110.67703631250966
2.180962,-0.550332,-110.67462779353616
2.180818,-0.551932,-110.53390791969696
