X,Y,Yaw
1.411805,-0.424403,-103.50457207891162
1.411501,-0.423531,-103.33592559223167
1.41242,-0.424521,-103.35165050700508
1.410555,-0.422878,-103.27110104594485
1.4113,-0.423651,-103.2877921962075
1.410698,-0.423399,-103.33867033671883
1.410447,-0.423368,-103.38407135128946
1.411133,-0.42407,-103.40074297389756
1.409584,-0.422073,-102.98491836373692
1.410213,-0.422658,-103.00208876643067
1.409844,-0.422173,-102.75873997687124
1.409833,-0.42202,-102.69403830408636
1.41051,-0.422616,-102.7106088430246
1.409665,-0.421716,-102.5901056235914
1.410352,-0.422308,-102.60677187206365
1.410497,-0.422423,-102.5576329218071
1.410704,-0.422602,-102.49119367284428
1.411485,-0.423293,-102.50760597476408
1.410947,-0.422706,-102.42542381473768
1.411764,-0.423428,-102.44224860451264
1.411979,-0.423631,-102.43783058713764
1.412405,-0.424223,-102.49574520467394
1.413313,-0.425061,-102.51330859608883
1.412908,-0.424986,-102.60997890703187
1.413846,-0.425872,-102.62671621820444
1.413221,-0.425156,-102.65151053894031
1.413067,-0.424981,-102.6826045865495
1.414028,-0.425882,-102.70044462901976
1.414336,-0.426322,-102.76352290949428
1.414728,-0.426751,-102.82679744104364
1.414903,-0.427012,-102.89421786912932
1.415944,-0.428029,-102.91168076750095
1.416074,-0.428232,-102.98404375749408
1.415888,-0.428275,-103.072107499257
1.416965,-0.429348,-103.08921335599253
1.416613,-0.42874,-103.14599870628092
1.416915,-0.429036,-103.22355599707424
1.418021,-0.430142,-103.24063626844357
1.417486,-0.429599,-103.37069811233646
1.418603,-0.430724,-103.38813345402212
1.418554,-0.430487,-103.50408596758258
1.418805,-0.430586,-103.59738431265716
1.419952,-0.431734,-103.61506053542875
1.419281,-0.431103,-103.72415317260256
1.420436,-0.432267,-103.74128507987062
1.420367,-0.432164,-103.84191361102128
1.420445,-0.432136,-103.9459387678966
1.421612,-0.433326,-103.9628420043162
1.420613,-0.43186,-104.22430978435747
1.421742,-0.433013,-104.2430474447796
1.422015,-0.433357,-104.32794646706664
1.422089,-0.43334,-104.43834144694404
1.423233,-0.434534,-104.4427588022204
1.421944,-0.432638,-104.6558528086566
1.42304,-0.433777,-104.66244648037588
1.422431,-0.43335,-104.6537431018262
1.421611,-0.432162,-104.89991467501429
1.422645,-0.433117,-105.0549635842539
1.421656,-0.431561,-105.31477331059762
1.422672,-0.43255,-105.39501052357126
1.422784,-0.432574,-105.4336165209363
1.422774,-0.432507,-105.45167690410447
1.423823,-0.433627,-105.4435717078231
1.422608,-0.431897,-105.53807086194072
1.423675,-0.432897,-105.52606543109324
1.423608,-0.432714,-105.52483568353236
1.423737,-0.432606,-105.498008245043
1.424909,-0.433434,-105.46610361451872
1.425212,-0.433584,-105.52831861857976
1.425487,-0.43408,-105.57820677675244
1.426508,-0.435336,-105.58803833755832
1.425245,-0.434433,-105.78678233057131
1.426421,-0.435549,-105.80237881275757
1.426074,-0.43432,-105.80127387505374
1.427468,-0.435362,-105.70371868949914
1.428837,-0.436498,-105.53190341173178
1.42827,-0.435418,-105.16041679224946
1.429582,-0.436748,-104.5901036385344
1.429892,-0.436531,-103.76844108292867
1.429895,-0.435761,-102.75182574363106
1.430917,-0.437895,-100.53093362992422
1.432555,-0.438412,-98.77946739442866
1.435133,-0.439601,-97.04848733668771
1.434527,-0.435383,-95.34158762226804
1.437464,-0.436031,-93.43839747380166
1.437642,-0.432256,-91.53490506589776
1.439618,-0.429283,-89.55533799374719
1.442708,-0.429124,-87.3638241501013
1.445558,-0.42805,-85.14903859229437
1.448114,-0.427173,-82.96705470017736
1.449648,-0.427002,-79.80791758718485
1.451531,-0.426043,-77.71459852984555
1.453609,-0.426635,-76.07961150799757
1.455507,-0.426035,-74.89666423389251
1.455367,-0.424765,-74.16935889580996
1.457456,-0.424704,-73.66075473098955
1.459732,-0.424774,-73.34750872047236
1.462815,-0.4255,-73.08722341976095
1.465404,-0.42545,-72.74733426373885
1.467535,-0.425306,-72.30569508982111
1.469802,-0.42509,-71.61095865463253
1.471964,-0.425019,-70.68575719902704
1.474917,-0.425956,-69.56471045713435
1.476036,-0.424878,-68.18532347835409
1.47881,-0.42589,-66.66784401797693
1.48057,-0.425784,-65.01431559061014
1.48217,-0.425868,-63.29586379087471
1.484679,-0.427084,-61.57607989009918
1.4863,-0.427232,-59.90184334085944
1.487762,-0.42737,-58.35495088594607
1.489561,-0.427298,-56.84374457015444
1.491408,-0.427211,-55.44843770855934
1.494295,-0.428084,-54.18131495734729
1.49551,-0.426605,-52.93289627196909
1.498699,-0.427247,-51.92986621175191
1.500871,-0.426188,-50.93741109497102
1.503154,-0.425364,-50.00367277946913
1.506649,-0.425923,-49.21999429082893
1.508201,-0.423895,-48.229135005464784
1.511769,-0.42431,-47.41731067346073
1.514239,-0.423326,-46.51712763176483
1.516811,-0.422475,-45.53005374845711
1.520656,-0.422848,-44.86617365278473
1.522924,-0.421343,-44.29006468677617
1.527101,-0.421953,-43.888875311596905
1.531438,-0.422687,-43.58157347637592
1.534625,-0.421014,-43.43445655075393
1.539055,-0.42177,-43.19847650794837
1.535331,-0.4179435,-43.480449593644266
1.531607,-0.414117,-43.20860484390112
1.535804,-0.414435,-42.97883251685009
1.540077,-0.414658,-42.737595231734176
1.543582,-0.414054,-42.51168240006393
1.548033,-0.413958,-42.25058206589309
1.552108,-0.413483,-42.06097127978112
1.556719,-0.41326,-41.807090008088494
