X,Y,Yaw
3.450779,-1.175553,-115.65601172217464
3.450375,-1.174863,-115.67505281575008
3.449955,-1.174086,-115.6918280688814
3.450263,-1.174522,-115.68588223002244
3.449847,-1.173706,-115.702194295627
3.449861,-1.173722,-115.69422235838594
3.449809,-1.173521,-115.68101120769629
3.4494,-1.172589,-115.69812946617142
3.452885,-1.176135,-115.70852254472663
3.452778,-1.175341,-115.72426018132651
3.452433,-1.174838,-115.73518374299154
3.452522,-1.174556,-115.7053865893072
3.452384,-1.173591,-115.7215269255036
3.452844,-1.174843,-115.7393423254776
3.45269,-1.173851,-115.75592557421442
3.452399,-1.173562,-115.77660380866668
3.452445,-1.173508,-115.85135352950242
3.45222,-1.172365,-115.86837303970276
3.452089,-1.173199,-116.05902166116164
3.451778,-1.171975,-116.07622403980878
3.451275,-1.171624,-116.0885722143142
3.451121,-1.171373,-116.15234972902466
3.450709,-1.169993,-116.16931036187624
3.451064,-1.171435,-116.11456839770167
3.450613,-1.170028,-116.13234855376884
3.450517,-1.170064,-116.08107090409392
3.450384,-1.169837,-116.03850541630352
3.449878,-1.168322,-116.05605880138424
3.4502,-1.16976,-116.01631495722629
3.449642,-1.168216,-116.03361791124306
3.449251,-1.168777,-116.43999147994876
3.448534,-1.167094,-116.45828397579648
3.447989,-1.166593,-116.33622277045023
3.445132,-1.16503,-116.86211191092023
3.444117,-1.163092,-116.88017228206375
3.444883,-1.163925,-116.66451542816742
3.445685,-1.164897,-116.35115742437856
3.444728,-1.163003,-116.36938139313789
3.442799,-1.162929,-116.36602085431362
3.441677,-1.160945,-116.38474281145837
3.443052,-1.162776,-115.85885626564372
3.442002,-1.160865,-115.87711328265011
3.441565,-1.160474,-115.76174082225268
3.441495,-1.160343,-115.65899531835636
3.4404,-1.158368,-115.67715879619836
3.441233,-1.160234,-115.27337345044708
3.440146,-1.158317,-115.29168725482975
3.439356,-1.15772,-115.14544701302968
3.43821,-1.155743,-115.1632260874091
3.437787,-1.155588,-115.09969979668384
3.435216,-1.154223,-115.42265640969572
3.433872,-1.152095,-115.44071959170384
3.435101,-1.153185,-115.21701500246706
3.435778,-1.153983,-115.10241022065225
3.434503,-1.151899,-115.12065433251928
3.436845,-1.154836,-114.88173480863622
3.435645,-1.152817,-114.89994315693308
3.435455,-1.1531,-114.93372564496246
3.435435,-1.153138,-114.83949927640036
3.43417,-1.15107,-114.85792518216392
3.434739,-1.152421,-114.566378232407
3.433498,-1.150389,-114.58443199507576
3.432986,-1.149866,-114.52408101852456
3.43248,-1.149411,-114.46190365273613
3.431185,-1.147315,-114.4795420228518
3.432174,-1.149342,-114.28615642381212
3.430882,-1.147281,-114.30387299597426
3.430008,-1.146617,-114.25798933718748
3.429342,-1.146096,-114.1933454047256
3.427997,-1.143976,-114.21167906411546
3.429621,-1.146663,-114.09317373971152
3.428306,-1.144589,-114.1103893315579
3.428322,-1.144874,-114.13121158747292
3.428212,-1.144966,-114.18007651915424
3.426847,-1.142827,-114.19767794825025
3.428867,-1.145972,-114.10845192150532
3.42752,-1.143873,-114.12598467872635
3.427935,-1.144453,-114.10562376958798
3.428245,-1.144907,-114.07648787160632
3.426903,-1.142787,-114.0940809444241
3.431617,-1.147427,-112.93584595817872
3.430633,-1.145633,-112.95229809772523
3.430298,-1.145561,-113.05081114358224
3.430075,-1.145469,-113.1108587147656
3.429049,-1.143588,-113.12757295146804
3.429832,-1.145855,-113.38185755675524
3.428738,-1.143932,-113.3986301159708
3.428437,-1.143823,-113.44862546142971
3.428215,-1.143751,-113.46179584178392
3.427088,-1.141759,-113.47848271035932
3.428003,-1.14381,-113.40542480997036
3.426889,-1.141833,-113.42279399545696
3.426341,-1.14133,-113.41011416161474
3.426187,-1.141258,-113.37223154332769
3.425043,-1.139222,-113.39023404833614
3.425855,-1.141136,-113.3133958865146
3.424703,-1.139115,-113.33019996945572
3.424515,-1.139201,-113.37816962009158
3.42508,-1.139907,-113.3452049896237
3.423913,-1.137856,-113.36271424257238
3.424535,-1.139644,-113.44392000499624
3.42333,-1.137579,-113.46063765099892
3.422252,-1.13673,-113.52183236464582
3.424372,-1.138636,-113.13104906736326
3.423263,-1.136619,-113.1473280280902
3.424709,-1.139457,-113.21958760293404
3.423599,-1.137451,-113.23631598366468
3.423791,-1.137953,-113.2579131886188
3.423972,-1.138378,-113.25748127689212
3.422849,-1.136338,-113.2748192717071
3.42381,-1.138586,-113.37747839057506
3.422667,-1.136541,-113.39385346291414
3.422813,-1.136973,-113.42032733152008
3.423173,-1.1375,-113.40787323558052
3.422019,-1.135421,-113.4247328486788
3.422787,-1.137018,-113.41043662114636
3.421622,-1.13493,-113.42746158732392
3.421203,-1.134736,-113.41921377604235
3.420804,-1.13451,-113.42072882264844
3.419589,-1.132363,-113.4382544131121
3.422659,-1.137453,-113.25410488734904
3.42151,-1.135413,-113.27141582785372
3.421694,-1.136002,-113.26157699935996
3.421165,-1.135836,-113.22231402459312
3.419993,-1.133772,-113.239719324469
3.421645,-1.136972,-113.20152070272906
3.420482,-1.134946,-113.2188709173396
3.42074,-1.135551,-113.22564340251462
3.420919,-1.136075,-113.2325063294942
3.419739,-1.134025,-113.25023143549691
3.42022,-1.135912,-113.36761849184931
3.418996,-1.133846,-113.38462605576068
3.419064,-1.134131,-113.43034707019868
3.419049,-1.134439,-113.45318532057756
3.417793,-1.132329,-113.47059141627604
3.417959,-1.132655,-113.48698928865451
3.418008,-1.133141,-113.51498413134388
3.418309,-1.133642,-113.5030754678505
3.418664,-1.134365,-113.4631162502895
3.417408,-1.132265,-113.48013068380016
3.420316,-1.136842,-113.47637544914627
3.419101,-1.13481,-113.4936094444807
3.419653,-1.135581,-113.52673201437068
3.418441,-1.133507,-113.54357927797643
3.417216,-1.131375,-113.56063134061084
3.417101,-1.131682,-113.56293198108642
3.415858,-1.129505,-113.57943870651803
3.4170575000000003,-1.133338,-113.40442466547262
3.418257,-1.137171,-112.40236963782328
3.417319,-1.135302,-112.41974684472268
3.416733,-1.137804,-111.81756693741195
3.415861,-1.136037,-111.83422285328147
3.414979,-1.134228,-111.850409112778
3.412079,-1.132949,-111.32457954385168
3.4112,-1.131172,-111.34135735116487
3.409577,-1.130604,-111.0450211928654
3.408677,-1.128853,-111.06163564710133
3.407769,-1.127066,-111.0784402945892
3.405875,-1.125686,-110.98072773816894
3.404908,-1.123874,-110.99799371838544
3.403378,-1.122277,-110.96188175950834
3.402364,-1.120422,-110.9786211262962
3.40134,-1.118532,-110.99502726038506
3.399685,-1.119122,-110.74756837621744
3.398622,-1.11731,-110.76444480408811
3.397987,-1.118401,-110.499663041004
3.39693,-1.116675,-110.51685316606569
3.395862,-1.114921,-110.53344581376818
3.39504,-1.115404,-110.29230241249212
3.393971,-1.113714,-110.30893626250236
3.395548,-1.116867,-109.95438129506384
3.394578,-1.115331,-109.97107860015797
3.393602,-1.113771,-109.98775149987632
3.394596,-1.116054,-109.70363002871773
3.393682,-1.114611,-109.72028120999246
3.395151,-1.117268,-109.44647929362944
3.394317,-1.115955,-109.46310144005264
3.393479,-1.114622,-109.4805151732174
3.394471,-1.116686,-109.2707753753262
3.393687,-1.115458,-109.28795417296688
3.395567,-1.118504,-109.02166636849536
3.394876,-1.117415,-109.0382762526647
3.394183,-1.11631,-109.05511854133742
3.395946,-1.119141,-108.8122036054986
3.395337,-1.118165,-108.82946496968084
3.396999,-1.120761,-108.60290325582773
3.396471,-1.119907,-108.61912242228928
3.395942,-1.119042,-108.63587873335403
3.397255,-1.121123,-108.47047669245364
3.396792,-1.120355,-108.48729580069364
3.398108,-1.122428,-108.31359584016332
3.397708,-1.12176,-108.33013643163736
3.397307,-1.121084,-108.34637723234788
3.398491,-1.122936,-108.2037353024568
3.39815,-1.12235,-108.21973305045992
3.398728,-1.123433,-108.10432955688444
3.398419,-1.122906,-108.1206154769354
3.398109,-1.122373,-108.13741512700332
3.3983,-1.122884,-108.07677964560918
3.398004,-1.122386,-108.09323692989396
3.399697,-1.124694,-107.94058404407376
3.399481,-1.124297,-107.95701462148516
3.399264,-1.123897,-107.97323871203665
3.399892,-1.124935,-107.89364607395632
3.399718,-1.124586,-107.91005172958388
3.399963,-1.12508,-107.85065344867128
3.399806,-1.124762,-107.86580238633904
3.399653,-1.124439,-107.88206121526277
3.401235,-1.12658,-107.77412563176324
3.401155,-1.126343,-107.79127401388122
3.402281,-1.12789,-107.723475282517
3.402248,-1.127718,-107.74058458803404
3.402216,-1.127546,-107.7559790246247
3.402758,-1.128371,-107.70403125961764
3.402744,-1.128237,-107.71729939460586
3.403055,-1.128804,-107.67895188266624
3.403053,-1.128695,-107.69265041795548
3.40305,-1.128583,-107.70711697581828
3.403865,-1.129789,-107.66370452589024
3.403907,-1.12972,-107.68113450144662
3.403839,-1.129497,-108.31923091289448
3.405735,-1.131102,-108.58202511512408
3.40574,-1.130991,-108.59839479859852
3.407476,-1.132185,-109.05588280748168
3.407496,-1.132052,-109.0713114528344
3.409288,-1.133565,-110.36851113653242
3.4092,-1.133332,-110.3847246236828
3.409703,-1.133365,-110.7280792450266
