X,Y,Yaw
1.27786,0.955463,-107.0583840400318
1.277917,0.955254,-106.98259863545654
1.277925,0.955352,-107.00101653270411
1.277928,0.955337,-107.01976176904256
1.277879,0.955342,-107.0164884811327
1.277769,0.95537,-107.0355880059575
1.277659,0.955489,-107.04359684467389
1.277504,0.955671,-107.06145679845112
1.277263,0.955724,-107.0190890789787
1.277047,0.955751,-106.95805474055469
1.276801,0.955743,-106.93621975158092
1.276607,0.955701,-106.9236638004928
1.276271,0.955956,-106.94148295638904
1.27607,0.955873,-106.92917007823591
1.276084,0.955876,-106.94721101299828
1.276116,0.955864,-106.96741051560258
1.276074,0.956011,-106.9921405288405
1.275665,0.956316,-107.01004996759228
1.275636,0.956371,-107.00214235430614
1.275565,0.956442,-106.99844024616785
1.275478,0.95645,-106.98842469653586
1.275372,0.956474,-106.99235775232997
1.274877,0.956841,-107.01065733096522
1.274855,0.956777,-107.02372593617548
1.274771,0.956734,-107.01844019455656
1.274647,0.956743,-107.03824801850853
1.274509,0.956772,-107.06005689002204
1.273943,0.957175,-107.0781469887262
1.274025,0.956986,-107.14091098062924
1.273997,0.956924,-107.17388298574204
1.27373,0.956872,-107.16313074042657
1.273436,0.956837,-107.13381672073282
1.272823,0.957222,-107.15109387678528
1.272629,0.95715,-107.15804539674916
1.272623,0.957169,-107.21074554474146
1.272713,0.957062,-107.26935308700612
1.272698,0.957032,-107.33075004213325
1.272082,0.957416,-107.34804757512444
1.27193,0.957262,-107.3721977726675
1.271658,0.957277,-107.3728580929748
1.271473,0.957242,-107.38252234617732
1.271589,0.957137,-107.43171165679531
1.270951,0.957511,-107.449390476912
1.271234,0.957265,-107.49797246168716
1.271435,0.957095,-107.54113483632663
1.271624,0.956955,-107.5929852222173
1.271689,0.956963,-107.63542850934502
1.271106,0.957309,-107.65281328452696
1.271293,0.957252,-107.71378904856034
1.271402,0.957205,-107.77957405811556
1.271607,0.957073,-107.82200330335333
1.271736,0.956988,-107.86828657263182
1.271207,0.957329,-107.88569601555749
1.271289,0.957299,-107.91879650889086
1.270997,0.957371,-107.8329444160284
1.271106,0.957361,-107.88023733364749
1.271191,0.957366,-107.92474840888748
1.270651,0.957733,-107.94216327414418
1.270712,0.957732,-107.9727215463819
1.27069,0.957786,-107.98614185582116
1.27081,0.957705,-107.98800078297336
1.270903,0.957667,-107.99705096837675
1.270375,0.958044,-108.01460663855192
1.270484,0.958048,-108.04859614863544
1.270585,0.958038,-108.0822710871982
1.270658,0.958043,-108.09750999629352
1.270696,0.958078,-108.11071097998308
1.270187,0.958475,-108.12813034498
1.270322,0.958408,-108.14772651464592
1.270394,0.958412,-108.16834623191376
1.270528,0.958306,-108.16547072610676
1.27003,0.958708,-108.18291519245057
1.270165,0.958612,-108.18049761053712
1.270295,0.958496,-108.17167855553951
1.270545,0.958181,-108.15433505893648
1.270721,0.958035,-108.16802445940172
1.270879,0.957854,-108.18822151808256
1.27041,0.958223,-108.20521774726838
1.270568,0.958063,-108.22285004473449
1.270632,0.958008,-108.23126890360555
1.270887,0.957788,-108.22788583473884
1.271149,0.957535,-108.22977100496968
1.270705,0.957878,-108.24669640357452
1.270834,0.957739,-108.24135756890246
1.27097,0.957496,-108.23621210903752
1.271123,0.95733,-108.22390866486988
1.271285,0.957172,-108.2205415838758
1.270857,0.957488,-108.2381913825977
1.271054,0.957332,-108.24375142967966
1.271189,0.957214,-108.24622085784276
1.271278,0.95717,-108.2454611762529
1.271241,0.95723,-108.24093897759568
1.270819,0.957549,-108.25812284671044
1.270673,0.957555,-108.2422360334596
1.270524,0.957534,-108.22554253155774
1.270481,0.957436,-108.21640387687992
1.270629,0.95734,-108.22707336227816
1.270188,0.957661,-108.24411972907863
1.269731,0.958005,-108.26181524379332
1.27095,0.957163,-108.27628710734784
1.271108,0.957077,-108.28790042699671
1.271239,0.956939,-108.30139584344988
1.270841,0.957235,-108.31827425040773
1.27099,0.957138,-108.31083891133378
1.271122,0.957001,-108.30820659285354
1.271273,0.956869,-108.30423758009836
1.271687,0.956587,-108.29331380880208
1.27132,0.956864,-108.311057349067
1.271667,0.956736,-108.32232071617162
1.27182,0.95671,-108.33067361952324
1.271973,0.956672,-108.34174574120668
1.272137,0.956592,-108.3562514772481
1.271797,0.956869,-108.37317610853898
1.271955,0.95684,-108.38709583127344
1.27214,0.956746,-108.40447821044395
1.272323,0.956702,-108.43253477242588
1.272462,0.956662,-108.4597613365224
1.272147,0.956942,-108.4772826274685
