X,Y,Yaw
2.56334,0.075654,-102.70548441725556
2.5685685,0.07650850000000001,-102.62797280739869
2.573797,0.077363,-103.1421455030852
2.580391,0.078303,-103.47994151723836
2.583283,0.079266,-103.67288199011712
2.580133,0.080895,-103.68039626952392
2.583813,0.08127,-103.83934792803215
2.5853,0.081991,-103.94342374945988
2.586756,0.082296,-104.06745005373156
2.588194,0.082418,-104.18139570071097
2.586047,0.084319,-104.18875103018163
2.587917,0.084193,-104.220565455992
2.588848,0.084401,-104.25131829013964
2.589414,0.084628,-104.27181586992717
2.589285,0.085204,-104.292762784106
2.587342,0.087237,-104.3004828980118
2.587253,0.087688,-104.33436445151764
2.587214,0.088125,-104.3737951733316
2.585141,0.090323,-104.38149601993022
2.587862,0.088063,-104.58023400058003
2.585843,0.090202,-104.58773971859593
2.587275,0.089481,-104.53581646457653
2.587273,0.08974,-104.5168647863508
2.586428,0.090575,-104.5361005681133
2.584348,0.0928,-104.54401002338815
2.583658,0.093451,-104.59008250712576
2.58286,0.094173,-104.63826376299755
2.582154,0.094733,-104.7080409929177
2.58138,0.095335,-104.779308170071
2.580421,0.096038,-104.85137247376392
2.578002,0.098465,-104.85944788793182
2.576595,0.099426,-104.97129573378533
2.575204,0.100363,-105.07827893015892
2.573936,0.10112,-105.19644638914843
2.571188,0.103716,-105.20469894170928
2.56998,0.104315,-105.329514332069
2.568358,0.105239,-105.47102675726374
2.566767,0.106125,-105.6040710838928
2.565419,0.106715,-105.75030450786718
2.562303,0.109419,-105.75928933712096
2.561573,0.109323,-105.9764239583541
2.560921,0.109345,-106.08081180586557
2.560415,0.109291,-106.17220099534424
2.55979,0.109412,-106.2378076735722
2.559101,0.109745,-106.2555009756003
2.55565,0.112502,-106.2644627662552
2.555133,0.112537,-106.3190160625782
2.554543,0.112688,-106.35658398483702
2.554105,0.112743,-106.39094398572968
2.550513,0.11553,-106.39917756979582
2.550213,0.115479,-106.4269273023416
2.549831,0.115528,-106.44518221340346
2.549142,0.115868,-106.45865128365357
2.547887,0.116484,-106.51522364595144
2.546667,0.117129,-106.55951778988944
2.542896,0.119956,-106.56896828962536
2.54159,0.120638,-106.6157117683032
2.540332,0.121374,-106.64229528435423
2.539996,0.121529,-106.62835155123346
2.539619,0.121751,-106.62134249208373
2.535683,0.12466,-106.63051966012296
2.535097,0.124854,-106.64535001913396
2.534282,0.12531,-106.6402200993757
2.533943,0.1253,-106.66540202559246
2.529859,0.128289,-106.67406269404
2.529189,0.128666,-106.67790395242248
2.528768,0.128714,-106.70889944171464
2.528339,0.128873,-106.7215010963678
2.528482,0.128655,-106.72386254213424
2.528584,0.128543,-106.71007939020976
2.524417,0.131558,-106.7199162397108
2.524914,0.131129,-106.70010550196416
2.525193,0.130915,-106.67167745719507
2.526346,0.129934,-106.6576446746124
2.52677,0.129597,-106.64643119500458
2.522649,0.132583,-106.65639123854204
2.522214,0.13274,-106.68391439924416
2.522012,0.13296,-106.65279575979775
2.523004,0.132329,-106.58968340583432
2.523784,0.131899,-106.53705772848453
2.519615,0.134949,-106.54710646331296
2.520881,0.134037,-106.50912924950325
2.521733,0.133461,-106.47010673276914
2.522554,0.132867,-106.4139133084222
2.523111,0.132524,-106.38196432582944
2.519012,0.135557,-106.3912368392333
2.518563,0.135678,-106.44640348432569
2.518005,0.136035,-106.45302656081898
2.517658,0.136124,-106.49322795753643
2.517256,0.136403,-106.49117677483105
2.513017,0.139518,-106.50086473554532
2.514223,0.138272,-106.59928405278518
2.514967,0.137564,-106.63694373059217
2.515952,0.136885,-106.60109721191408
2.517147,0.136268,-106.52319999450702
