X,Y,Yaw
2.598753,-1.991137,-101.05629554455358
2.6055305,-1.98693575,-101.18184900763613
2.6123079999999996,-1.9827344999999998,-100.93313713722259
2.6190854999999997,-1.97853325,-101.16189052144559
2.625863,-1.974332,-105.28956798985564
2.633658333333333,-1.9732046666666667,-105.01596079065108
2.6414536666666666,-1.9720773333333332,-105.2894422546437
2.649249,-1.97095,-105.27113814091224
2.6570443333333333,-1.9698226666666667,-105.28375495822658
2.6648396666666665,-1.9686953333333332,-105.43822423733681
2.672635,-1.967568,-110.19820639585804
2.6649896666666666,-1.9674926666666666,-110.15845669637687
2.6573443333333335,-1.9674173333333334,-110.31630648264897
2.649699,-1.967342,-110.1983710340199
2.6572,-1.96626825,-110.15128399246305
2.664701,-1.9651945,-110.20404394795996
2.672202,-1.96412075,-110.1450248702279
2.679703,-1.963047,-112.640536041679
2.68615,-1.959651,-112.7763058588209
2.691765,-1.957151,-112.88702964024448
2.6842335000000004,-1.9565135,-112.75675183061294
2.676702,-1.955876,-112.9001098723674
2.6832617500000002,-1.955303,-112.78096924584119
2.6898215,-1.95473,-112.82068760338264
2.69638125,-1.954157,-113.09740026893478
2.702941,-1.953584,-113.01953207085768
2.6968605,-1.9529014999999998,-112.81717271569997
2.69078,-1.952219,-113.03279136717892
2.695323,-1.950931,-113.08103866495122
2.701642,-1.950042,-113.18955782682517
2.70788,-1.949772,-113.24297311437904
2.713166,-1.949613,-113.30214503231724
2.709162,-1.949084,-113.20850819029144
2.705158,-1.948555,-113.31501807904316
2.711387,-1.948658,-113.37937748156746
2.715122,-1.94832,-113.26334338395333
2.719303,-1.948443,-113.296536097638
2.723042,-1.948608,-113.3374004917082
2.717699,-1.948003,-113.34993200159003
2.724519,-1.948565,-113.49955779296872
2.728096,-1.94889,-113.55967580802078
2.731785,-1.949248,-113.62458344678566
2.73517,-1.949468,-113.73867320836936
2.731785,-1.949202,-113.7513366052994
2.735594,-1.949629,-113.85001713209016
2.736849,-1.949787,-113.9408952221397
2.740653,-1.950256,-114.003791856239
2.744111,-1.950709,-114.01788031554152
2.742087,-1.950741,-114.03094045124284
2.747565,-1.951206,-114.15381818281332
2.750688,-1.951614,-114.21582932366584
2.749396,-1.951792,-114.22936273690271
2.756821,-1.952522,-114.33680104835504
2.755986,-1.952796,-114.34973010489186
2.759054,-1.953275,-114.41348399260552
2.761909,-1.953792,-114.4584819094613
2.764694,-1.954238,-114.51011652846069
2.765426,-1.954441,-114.57360052634334
2.765459,-1.95498,-114.58643627870266
2.770115,-1.955318,-114.71886475644054
2.773287,-1.955688,-114.81263106217877
2.776238,-1.956017,-114.89560904270344
2.778972,-1.956354,-114.96822230114952
2.779867,-1.957003,-114.98159496365687
2.782584,-1.95734,-115.0394933327392
2.784825,-1.957685,-115.08110363947218
2.787325,-1.957993,-115.13691968484278
2.789692,-1.958304,-115.18773428392804
2.791252,-1.959083,-115.20044253643404
2.793598,-1.95936,-115.24723064273842
2.795762,-1.95985,-115.29931856358591
2.797999,-1.960188,-115.34960741688224
2.80001,-1.960659,-115.34941757237034
2.802142,-1.961564,-115.36252662514984
2.804395,-1.962029,-115.37679394846823
2.806745,-1.962524,-115.51167659526529
2.808807,-1.962783,-115.5544863112346
2.81059,-1.963127,-115.56905170171387
2.813261,-1.964194,-115.58176433849664
2.814942,-1.964169,-115.60935448145432
2.816808,-1.964312,-115.6106351417246
