X,Y,Yaw
1.407152,-0.390551,-104.57528458428877
1.407178,-0.390694,-104.57640501492128
1.407608,-0.391132,-104.59437646186343
1.407216,-0.390688,-104.48818471678916
1.407629,-0.391122,-104.5049775191208
1.408078,-0.391599,-104.52230763592937
1.407708,-0.391163,-105.02785538522804
1.40813,-0.391646,-105.04586867887492
1.407934,-0.391512,-105.36433029117318
1.40833,-0.392037,-105.38275434663204
1.408553,-0.391079,-104.89901238214712
1.408776,-0.39073,-104.49847521765322
1.409285,-0.391173,-104.51601795722296
1.409421,-0.390054,-104.13133025346696
1.41,-0.390475,-104.14789146531396
1.410256,-0.390238,-104.03478585727696
1.41054,-0.390209,-103.9735793440566
1.410753,-0.390475,-103.95311776996137
1.410929,-0.39073,-103.95193280512412
1.411621,-0.391268,-103.96883704525077
1.412356,-0.391848,-103.98471236973934
1.409261,-0.39196,-105.16019220103117
1.409809,-0.392337,-105.17665209580755
1.409955,-0.392686,-105.18348001257388
1.410542,-0.393124,-105.20097015242666
1.410773,-0.393165,-105.0884939802741
1.411058,-0.393244,-105.00075989074648
1.411721,-0.393754,-105.0182867309854
1.411857,-0.394032,-105.04022541466313
1.412554,-0.394595,-105.0577869042656
1.413284,-0.395191,-105.07477387897453
1.413285,-0.395328,-105.10551934841236
1.414038,-0.395969,-105.12156021775948
1.413886,-0.395952,-105.16026345759934
1.414654,-0.39663,-105.17717651294316
1.414959,-0.396936,-105.20609198429852
1.41525,-0.397224,-105.23668393386204
1.41606,-0.397971,-105.2530550114657
1.415301,-0.397068,-105.18207614803104
1.416116,-0.397832,-105.1985025125908
1.416961,-0.398633,-105.21510096966573
1.416026,-0.397658,-105.23077346701338
1.416859,-0.398462,-105.24638222245616
1.41747,-0.399163,-105.24706041921924
1.418162,-0.399986,-105.25727244227151
1.418031,-0.399729,-105.22086634323576
1.417855,-0.399436,-105.1953138349575
1.418756,-0.400338,-105.21315229702776
1.417898,-0.39947,-105.29851314274408
1.418788,-0.400374,-105.31668793895318
1.417883,-0.399056,-105.343252724745
1.418767,-0.399949,-105.36054649060064
1.419676,-0.400879,-105.37731742648774
1.4165044999999998,-0.3984105,-105.24072178649926
1.413333,-0.395942,-105.8612809632872
1.414008,-0.396596,-105.88711676247443
1.41435,-0.396951,-105.92252341170078
1.414721,-0.397327,-105.96291088146126
1.415428,-0.398007,-106.00843205214971
1.412173,-0.39574,-106.34539408499052
1.412689,-0.396212,-106.4033406262346
1.413175,-0.396747,-106.45365930830184
1.41343,-0.39721,-106.4413957218802
1.414053,-0.397977,-106.48508534183308
1.414477,-0.398197,-106.5000378578772
1.415355,-0.398879,-106.5156389692613
1.416363,-0.399562,-106.50221195365584
1.416802,-0.399104,-106.42392532457988
1.418081,-0.39971,-106.39667460154745
1.418889,-0.399467,-106.39086791879669
1.420302,-0.399807,-106.41519676915
1.421701,-0.40041,-106.37036094186638
1.422147,-0.400312,-106.2799633834231
1.423761,-0.400634,-105.81557210800244
1.422628,-0.398073,-105.201700994089
1.423778,-0.398754,-104.92744254663909
1.424292,-0.398989,-104.70999877944033
1.424703,-0.399238,-104.53388011026888
1.425593,-0.400023,-104.40329005575012
1.425174,-0.399704,-104.40073913713964
1.425939,-0.400421,-104.40280517712162
1.426064,-0.40047,-104.45408942216832
1.426153,-0.400511,-104.52194373113096
1.42688,-0.401205,-104.57125304289492
1.42646,-0.400755,-104.64853111058072
1.427191,-0.401475,-104.68994510135444
1.4268,-0.400778,-104.6938531027294
1.426557,-0.400298,-104.65320781347464
1.427317,-0.401033,-104.6323390295374
1.426176,-0.399546,-104.4768509346594
1.426954,-0.400317,-104.39371202326824
1.426738,-0.399901,-104.2336883466527
1.426595,-0.399684,-104.03694625222056
1.427401,-0.40053,-103.8630987710524
1.425756,-0.398711,-103.65862008146252
1.426502,-0.399476,-103.53038907803536
1.426948,-0.400008,-103.42353540730622
1.427392,-0.400526,-103.35043700748712
1.428134,-0.401273,-103.32297827842444
1.428035,-0.401283,-103.34382282288178
1.428762,-0.402,-103.38323350553604
1.428638,-0.40177,-103.40805455611223
1.423639,-0.397758,-103.64864974211876
1.424174,-0.398197,-103.78106613468448
1.424115,-0.397606,-103.862974872118
1.424656,-0.398013,-104.0429838332234
1.424878,-0.398078,-104.17172824854704
1.424922,-0.39795,-104.33211598941377
1.425479,-0.398355,-104.5683219447265
1.425475,-0.39831,-104.80639401916214
1.426041,-0.398717,-105.06361550759809
1.426073,-0.398461,-105.27228606501006
