X,Y,Yaw
1.828847,-0.428086,-101.81942495154168
1.830553,-0.429428,-101.9254500854709
1.82926,-0.428274,-101.67840650363377
1.830754,-0.429554,-101.69831108653526
1.830135,-0.429303,-101.07399308121936
1.831312,-0.43106,-101.35513326689964
1.832809,-0.432459,-101.37468370800724
1.831814,-0.432481,-101.73167753586222
1.833249,-0.433902,-101.75064971443211
1.831627,-0.432303,-101.6266658508754
1.831171,-0.431932,-101.58297276305608
1.83253,-0.433308,-101.60323253199742
1.830246,-0.430664,-101.5357642348707
1.831547,-0.431981,-101.55579742134988
1.832053,-0.432355,-101.4778419400091
1.832687,-0.432877,-101.4227964202408
1.834124,-0.43435,-101.4425860067531
1.834031,-0.434009,-101.27803402784744
1.835552,-0.435548,-101.29754309970704
1.836117,-0.4364,-101.3533098716968
1.836788,-0.437139,-101.57330561177328
1.838394,-0.438831,-101.59301214435908
1.838432,-0.438745,-101.64092135783903
1.840099,-0.440499,-101.6605444220386
1.840243,-0.440355,-101.58919318926466
1.840684,-0.440441,-101.55365149778883
1.842456,-0.442264,-101.57327833549222
1.842584,-0.442,-101.49196128848172
1.842777,-0.441867,-101.42550596667292
1.842592,-0.441425,-101.29904637109584
1.84293,-0.441595,-101.2539072639134
1.844856,-0.443462,-101.2732850325324
1.842044,-0.44068,-101.19091949787192
1.843974,-0.44254,-101.210030295085
1.845969,-0.444477,-101.23042037239222
1.844972,-0.443058,-101.1962969639496
1.847025,-0.445019,-101.2153882008416
1.846632,-0.444641,-101.35457408669056
1.848725,-0.446649,-101.37444415522428
1.850885,-0.448733,-101.394062614799
1.848056,-0.446819,-101.8699053173826
1.850135,-0.448913,-101.88906676805706
1.848945,-0.447958,-101.91676654965106
1.851068,-0.450132,-101.9369689769202
1.85325,-0.452387,-101.9566947299304
1.8477095000000001,-0.4466405,-101.94411810398857
1.842169,-0.440894,-103.26689367137286
1.843899,-0.442209,-103.28530005621158
1.84374,-0.440455,-103.8353743115266
1.845418,-0.4415,-103.85376779219992
1.847137,-0.442588,-103.8717540676274
1.847589,-0.441649,-104.21762902328004
1.849288,-0.442592,-104.2364292295388
1.850806,-0.442408,-104.58525430331416
1.852499,-0.443243,-104.604088622214
1.854224,-0.444107,-104.62232287430976
1.856076,-0.444528,-104.90966497193853
1.857797,-0.445312,-104.92620332343044
1.858221,-0.445314,-105.14748162694656
1.859907,-0.446045,-105.16364994456949
1.861618,-0.446797,-105.17998472945304
1.863017,-0.447658,-105.31190072945572
1.864718,-0.448374,-105.32952802871928
1.866443,-0.44911,-105.3468624300308
1.86519,-0.44888,-105.49870930201811
1.866833,-0.449598,-105.5169725810552
1.866868,-0.450035,-105.6873487056986
1.868463,-0.450738,-105.70482910318825
1.868225,-0.450891,-105.77379471556156
1.869774,-0.451574,-105.79045668182482
1.871342,-0.452269,-105.80757364533504
1.871192,-0.452627,-105.910679632863
1.872714,-0.453316,-105.92731582721758
1.871676,-0.453129,-105.96530310688932
1.873141,-0.453809,-105.9820102789919
1.874624,-0.454501,-105.99920395957729
1.873505,-0.45425,-106.0306834601454
1.874935,-0.454931,-106.0477901375564
1.873683,-0.454578,-106.08086790615732
1.875061,-0.455244,-106.09695573276922
1.876455,-0.455921,-106.11364899343326
1.875062,-0.455406,-106.14833222333048
1.876405,-0.456064,-106.16518291503878
1.877764,-0.456732,-106.1814308954973
1.87686,-0.456812,-106.26547568540175
1.878169,-0.457474,-106.2818480153186
1.878198,-0.457844,-106.3013201472198
1.879492,-0.458503,-106.31798719582386
1.880801,-0.459168,-106.33545590322603
1.87832,-0.458184,-106.33792862891944
1.879564,-0.458817,-106.35438202451378
1.878612,-0.458435,-106.42507812859648
1.879821,-0.459061,-106.44143280194535
1.877859,-0.45809,-106.42485213319058
1.879022,-0.45868,-106.44097219250143
1.880194,-0.459278,-106.4562981304877
1.87759,-0.457849,-106.43669041053468
1.878663,-0.458399,-106.5174959334055
1.87715,-0.457475,-106.6295168400236
1.878134,-0.457765,-106.83512824571687
1.879132,-0.458019,-107.04875489599736
1.876905,-0.456564,-107.22540337477086
1.877856,-0.456711,-107.46921240361056
1.88369175,-0.46062225,-107.4764040295915
1.8895275,-0.4645335,-107.29253824532309
1.89536325,-0.46844474999999997,-107.19709966831631
1.901199,-0.472356,-107.28020186661114
1.902625,-0.472908,-107.47990458344655
1.89652775,-0.46917975,-107.73999403763486
1.8904305,-0.4654515,-107.83845030872058
1.88433325,-0.46172325,-107.76365218151848
1.878236,-0.457995,-107.3882951370712
1.873255,-0.4550375,-107.4726020213038
1.868274,-0.45208,-107.30757322982896
1.869191,-0.45269,-107.38751201373316
1.863347,-0.449349,-107.32680649264069
1.857503,-0.446008,-107.24999217738242
1.858175,-0.446559,-107.29812662097429
1.855378,-0.445216,-107.15097514282702
1.853315,-0.444724,-106.89960015804944
1.85345,-0.446124,-106.67110808455789
1.849761,-0.445471,-106.12389607308424
1.849516,-0.447538,-105.63515840997876
1.847433,-0.448578,-104.795241360696
1.845411,-0.449471,-103.84876588365869
1.845126,-0.451618,-102.83171616528456
1.842317,-0.451689,-101.33440065801436
1.842168,-0.453838,-99.81190469539646
1.840923,-0.45467,-98.03930722266692
1.839815,-0.45532,-96.19665120862535
1.84019,-0.456997,-94.28348487872098
1.83815,-0.454853,-92.10351061532214
1.838952,-0.455961,-90.04947756080831
1.838848,-0.455441,-87.85472476754882
1.838542,-0.45488,-85.64876018241735
1.839483,-0.455741,-83.33241467722279
1.838077,-0.454635,-81.0312418308254
1.838689,-0.456204,-79.26573592088941
1.837136,-0.455125,-77.56809070956336
1.837693,-0.456169,-75.93533262742898
1.838328,-0.457013,-74.23230129489033
1.837092,-0.45566,-72.16062399219338
1.837826,-0.456167,-70.25065350905665
1.838013,-0.45562,-68.19055796246631
1.838901,-0.455902,-66.16481438261769
1.840024,-0.455689,-64.19375066957019
1.840914,-0.453409,-62.760922439062085
1.84277,-0.452972,-61.60509951426653
1.844254,-0.452039,-60.48762657917967
1.846096,-0.451104,-59.62494219637227
1.848623,-0.450696,-58.94329014789103
1.850464,-0.449238,-58.45229397418873
1.853271,-0.449117,-57.94507483014308
1.855687,-0.448471,-57.506633885276834
1.858118,-0.448299,-57.04144564711827
1.861068,-0.448931,-56.49880726752211
1.863485,-0.449087,-55.96996214919574
1.866053,-0.449875,-55.36707821128056
1.869005,-0.45104,-54.67895492100627
1.871469,-0.451798,-53.98627388698896
1.873716,-0.452653,-53.299766740168565
1.870466,-0.449411,-53.219397427676334
1.867216,-0.446169,-53.12283644307946
1.870196,-0.446978,-52.40469776508664
1.866597,-0.442797,-52.00720100824724
1.869894,-0.443175,-51.3755179550446
1.873441,-0.443451,-50.78141932516692
1.873922,-0.441652,-50.46027828405339
1.877958,-0.441475,-49.937382489061655
1.882194,-0.441178,-49.42244774321743
1.884896,-0.441154,-49.21757275280535
1.889366,-0.440534,-48.71202790207059
1.893361,-0.439516,-48.41582139250507
1.898125,-0.438755,-47.99458173868001
1.901992,-0.437745,-47.71716083479773
1.906932,-0.436911,-47.35205137043861
1.911897,-0.436079,-46.98834893516002
1.916359,-0.43559,-46.68123028781215
1.921254,-0.434757,-46.2773733651557
1.925531,-0.434437,-45.91605753481517
1.9302,-0.433573,-45.42927313186499
1.934777,-0.432679,-44.91073342327471
1.939034,-0.432612,-44.48657638127965
1.94352,-0.431801,-43.98722818524675
1.947815,-0.432113,-43.57571545507998
1.952409,-0.431374,-43.12627653182789
1.95711,-0.430628,-42.698394690561294
1.961832,-0.431109,-42.33624191021303
1.966738,-0.430353,-41.92372420644849
1.971788,-0.43073,-41.53239034123781
1.976905,-0.429962,-41.12008579696806
1.982132,-0.429182,-40.71217408307975
1.987489,-0.429509,-40.41867932874623
1.992919,-0.428749,-40.03913240106013
1.998422,-0.429268,-39.71827813157905
2.004006,-0.428577,-39.3934974954391
2.009705,-0.427897,-39.11426692329906
2.015552,-0.42838,-38.90088643554824
2.021416,-0.427736,-38.680331264385615
2.027279,-0.428082,-38.48684196459111
2.033162,-0.427507,-38.28364932335036
2.039076,-0.42698,-38.10160020062179
2.045154,-0.427542,-37.954273869728894
2.051149,-0.427093,-37.80119565511489
2.057234,-0.427694,-37.678386577387045
2.0633,-0.427275,-37.5365541031533
2.0694,-0.426854,-37.395884163098174
2.075685,-0.427435,-37.24987765217558
2.081798,-0.427031,-37.09496257833817
2.088084,-0.427573,-36.92566429272704
2.094178,-0.427216,-36.74772396527942
2.100241,-0.426868,-36.55276994263433
2.106292,-0.427309,-36.34679812650185
2.1006573333333334,-0.4222936666666667,-36.364350576218946
2.0950226666666665,-0.4172783333333333,-36.52242145596564
2.089388,-0.412263,-36.92641527478816
2.090425,-0.408423,-36.88214935366133
2.0965443333333336,-0.411308,-37.004427395029104
2.1026636666666665,-0.414193,-36.99340494115441
2.108783,-0.417078,-38.81755539653853
2.113815,-0.416479,-38.68599587743441
2.1202750000000004,-0.418933,-38.68222868793281
2.126735,-0.421387,-39.82031220486577
2.13178,-0.420799,-39.77248892975859
2.135712,-0.418538,-39.699370350449705
