X,Y,Roll,Pitch,Yaw
1.368893,-0.421765,118.00103240662895,14.42517985965409,-103.07647837176516
1.368852,-0.421622,117.9801468261511,14.468365099180701,-103.07403445812612
1.368981,-0.421209,117.99201702589147,14.487512614280899,-102.96948197387715
1.369072,-0.421028,117.98644421845431,14.515688219011524,-102.92761131667552
1.369232,-0.420943,117.95843711974334,14.545732590675001,-102.94204362079712
1.36945,-0.421016,117.97537310328832,14.23782758915476,-102.85756616737117
1.369735,-0.421018,117.94694260391925,14.266080422554419,-102.87250923741965
1.369948,-0.421181,117.92546678267507,14.317092735078642,-102.88565803452953
1.370203,-0.421335,117.90605381863591,14.353908748441398,-102.89262995477868
1.370633,-0.421472,117.87805348717897,14.383267741500934,-102.90710177935236
1.370426,-0.421571,117.8924662885888,14.433490672936617,-102.87312788346267
1.370913,-0.421781,117.8643155938828,14.462313532251448,-102.88837657386249
1.370984,-0.421834,117.86188929628699,14.492240378386981,-102.88528030563072
1.371144,-0.421917,117.85497433480234,14.522172327069976,-102.87556227553823
1.371735,-0.422216,117.82711137882231,14.550885394674648,-102.8895601184061
1.371481,-0.422147,117.82159590297489,14.596002758908563,-102.88866603088218
1.37212,-0.422498,117.7936827828337,14.624368254116769,-102.90354790717129
1.372066,-0.422412,117.80021580139635,14.596116467400968,-102.90482460477591
1.372279,-0.422517,117.79890763818544,14.583155997476947,-102.90853026619351
1.373015,-0.422934,117.77079338580447,14.611962507685924,-102.92284088055224
1.373089,-0.423336,117.76207783059995,14.681167756731051,-102.99928618959312
1.373883,-0.423826,117.73354965439628,14.71013070249198,-103.01430762103949
1.374732,-0.424358,117.70518465996186,14.738257684722985,-103.02887317646821
1.374958,-0.425069,117.69070337585693,14.8183048997111,-103.15204833862197
1.375863,-0.425686,117.6621700128783,14.847487912355241,-103.1667643863228
1.374203,-0.424156,117.66759290515552,14.748259503024151,-103.1651556122822
1.375083,-0.424737,117.63936033027211,14.77714801143212,-103.1802007999654
1.374827,-0.424464,117.63057781827764,14.764099101480731,-103.17584778993391
1.374845,-0.424416,117.6260967290626,14.753176131226276,-103.1684762628044
1.375786,-0.425046,117.59817804333275,14.78354746606035,-103.18333909982401
1.375219,-0.424765,117.58353578508971,14.822439119139066,-103.20449771734386
1.376183,-0.425435,117.55491861784881,14.851597073780672,-103.21970954167683
1.377199,-0.426147,117.52663758959518,14.87952872238381,-103.23441414712893
1.376727,-0.425715,117.41242481593588,14.884295825413934,-103.3527795393703
1.377749,-0.426454,117.38410747196765,14.911748158376291,-103.36748609936056
1.377944,-0.426747,117.35658219587889,14.97183806366871,-103.39816110330902
1.37822,-0.42707,117.33378697881321,15.020241706284816,-103.42277289055734
1.378423,-0.427332,117.31068639728056,15.04688740554443,-103.46384835954287
1.3786,-0.427561,117.2908924454697,15.069953557685206,-103.49635607293536
1.37969,-0.428422,117.26212898515222,15.098484769205587,-103.51153982622368
1.379808,-0.428318,117.1472719018971,15.076740493486634,-103.63920378247848
1.38008,-0.428393,117.05483147416385,15.058150546751405,-103.74072008296642
1.380481,-0.428786,117.00038167795097,15.089760762522896,-103.79064550033547
1.380631,-0.428804,116.92667368372295,15.059347173155754,-103.88163138946149
1.381734,-0.429709,116.89820723371695,15.087163703600144,-103.89648241595522
1.380465,-0.428599,116.86159891338023,15.017927858983429,-104.01405507154968
1.381538,-0.429479,116.83284455638271,15.04575193802378,-104.03000206372518
1.382653,-0.430397,116.80445418983105,15.074202740239482,-104.04489488371618
1.381237,-0.429202,116.76444573907824,15.003372189446472,-104.1768600627055
1.382314,-0.43009,116.73537414631706,15.03115300045086,-104.19228158450564
1.381891,-0.430018,116.74126560171536,15.0163969101434,-104.25453238678926
1.38298,-0.430932,116.71166227916872,15.043886049694565,-104.27045034587822
1.38362,-0.431657,116.68751465596705,15.066278303837569,-104.33944509607312
1.384237,-0.432353,116.66505791971106,15.077100806302044,-104.41406381707299
1.38539,-0.433349,116.6360746937762,15.104993604506893,-104.42903237662834
1.383643,-0.431415,116.49688290551121,14.98606578162052,-104.62623947674201
1.38472,-0.432334,116.46791779601729,15.014078943611493,-104.64072646194965
1.384013,-0.431587,116.42507740940532,14.958639606348578,-104.7178599456801
1.383738,-0.431288,116.4100029028965,14.918892808262143,-104.7479131174849
1.384782,-0.432168,116.380939481361,14.947168708885007,-104.76268971990704
1.384456,-0.431867,116.3522406212486,14.952436827757724,-104.80990550010416
1.385123,-0.432587,116.33714384645639,14.972801027370014,-104.86046442572608
1.385735,-0.433339,116.32538647951398,14.999080548677275,-104.91310243561037
1.38632,-0.434029,116.30913192302322,15.019410974729013,-104.97191642150895
1.387408,-0.434988,116.28003818672765,15.047777329531435,-104.98694314851151
1.386863,-0.434355,116.2123595939709,15.037218328330479,-105.07074844890498
1.38748,-0.435036,116.19236137011562,15.054352648621235,-105.12737388176059
1.388565,-0.436005,116.1626024016806,15.082847664768725,-105.14355060640477
1.388351,-0.436076,116.12553404085804,15.082452463763206,-105.29924530885039
1.389431,-0.437062,116.09618847636068,15.110140206926555,-105.31493808947286
1.38882,-0.435991,115.94371146715618,15.032992698086927,-105.45117594729867
1.388504,-0.43531,115.83394055132626,14.972714972742562,-105.53808443550888
1.387614,-0.434387,115.82068235882238,14.947858373664486,-105.58570237715429
1.388019,-0.434921,115.82371391932918,14.9520873813192,-105.63766760861508
1.388988,-0.435789,115.7942810450847,14.981032232485898,-105.65243232145895
1.389988,-0.436689,115.76402118744925,15.008515373024347,-105.66790046986243
1.389882,-0.436893,115.77812434603094,14.994140423567245,-105.75087170855278
1.389199,-0.436109,115.73072800149352,15.016684814933148,-105.77866878579013
1.388582,-0.435358,115.69965739361335,15.008482000690083,-105.79663345306012
1.389506,-0.436198,115.67074640426455,15.039770597286166,-105.80989919889655
1.38871,-0.435461,115.67756123398375,15.03568236041081,-105.80019605627199
1.388157,-0.434961,115.69259042539626,15.027858850249913,-105.77722145736021
1.387359,-0.434294,115.71967246294695,15.011007245968784,-105.75315872853179
1.386688,-0.4337,115.74836028884154,14.960841589236887,-105.74241320765668
1.387516,-0.434443,115.71821807556063,14.987519351870917,-105.75944662030582
1.38704,-0.434061,115.75092497497172,14.965850242105079,-105.72076148596301
1.386558,-0.433582,115.77391119039503,14.926006447580201,-105.6956830751749
1.387411,-0.434259,115.74378138965298,14.965519893328011,-105.71404721288334
1.38661,-0.432957,115.70618645810033,14.900160809845442,-105.74998870935111
1.387721,-0.433368,115.73561109274247,14.962608210448414,-105.76163663104934
1.388529,-0.432656,115.69144701762531,15.08135126039627,-105.78981593315427
1.389705,-0.431738,115.61906785442638,15.194681401633044,-105.72509894405752
1.391708,-0.432071,115.59942649679944,15.607846927054105,-105.5553282728335
1.39266,-0.430222,115.11711785809337,15.5989503777303,-105.66708678575684
1.395078,-0.430076,114.71365175271879,15.568468891525262,-105.70389611233854
1.397484,-0.429967,114.24209844352745,15.492394940415998,-105.84349703271903
1.398632,-0.429493,113.9068459853677,15.463506145890152,-105.96755578730803
1.400423,-0.429269,113.54720971549399,15.428538587633943,-105.98688503798934
1.402198,-0.42888,113.16441343091188,15.551338939590398,-105.91206731912287
1.404711,-0.429029,112.76141829207461,15.820917459298379,-105.71077388044633
1.406508,-0.428887,112.4558453839216,16.3776897209402,-105.34590187943176
1.407302,-0.427853,112.34120331237565,16.982206441424474,-104.68534113976665
1.408261,-0.426963,112.34793373518795,17.767542285368183,-103.73225008130241
1.409311,-0.426021,112.47873601768984,18.627459218680546,-102.50417036067616
1.412055,-0.426514,112.66608675784123,19.706503199121045,-101.0502932542831
1.413289,-0.425529,113.0785621644147,20.773467162783266,-99.32951707965758
1.414797,-0.424876,113.67957100785824,21.87841285852756,-97.35642716285103
1.417662,-0.425495,114.38604178612177,23.05227064129001,-95.17720143195497
1.41837,-0.42357,115.08906862851954,24.05644617021922,-92.9979381220732
1.421335,-0.423913,115.9608817460579,25.10347066507396,-90.49723087199564
1.423626,-0.42348,116.92971579932855,25.979428502132823,-87.85101104718694
1.425855,-0.422916,117.94991106881695,26.740774481638198,-85.13564987672521
1.428399,-0.422776,119.07822414739513,27.346530730104554,-82.24765927693832
1.430798,-0.422385,120.24099726486853,27.89672893505162,-79.28969193528356
1.433832,-0.422373,121.39960584143836,28.361269921874413,-76.26324774524646
1.435953,-0.421861,122.64088237520976,28.436232090513045,-73.65304818222508
1.437945,-0.423489,123.14847668728412,26.928426309211527,-73.65023135026043
1.439806,-0.425557,123.84778723651036,25.406048955742442,-73.58096253394577
1.440435,-0.427344,124.82225505260566,24.40651351234356,-72.70436738818977
1.442612,-0.428789,125.60552058242251,23.374061594988493,-71.86319258476594
1.444674,-0.429887,126.36278096591477,22.71009140593043,-70.88697308233954
1.446859,-0.430291,126.9005931407588,22.17167639857967,-70.04242039543175
1.449872,-0.431211,127.42676913145198,21.46139879217111,-69.36932378413425
1.452207,-0.432158,127.85422119781076,21.020247296270547,-68.64520492924467
1.455827,-0.432691,128.125477838961,20.494332967770763,-68.16064506199069
